"PID","PROV_ID_TYPE","ID_PROVIDER","ID_DOC","ID_LETTER_EXTERNAL","DTE_ADDED"
"70582","MCD","0770947        ","6514311002129","FIN-3310-O          ","07-NOV-14"
"70630","MCD","0771428        ","6514311002130","FIN-3310-O          ","07-NOV-14"
"70648","MCD","0771606        ","6514311002131","FIN-3310-O          ","07-NOV-14"
"71088","MCD","0776003        ","6514311002132","FIN-3310-O          ","07-NOV-14"
"71089","MCD","0776012        ","6514311002133","FIN-3310-O          ","07-NOV-14"
"71091","MCD","0776030        ","6514311002134","FIN-3310-O          ","07-NOV-14"
"10343287","MCD","0094216        ","6514311002135","FIN-3310-O          ","07-NOV-14"
"73489","MCD","0800011        ","6514311002136","FIN-3310-O          ","07-NOV-14"
"73594","MCD","0801065        ","6514311002137","FIN-3310-O          ","07-NOV-14"
"73611","MCD","0801234        ","6514311002138","FIN-3310-O          ","07-NOV-14"
"73612","MCD","0801243        ","6514311002139","FIN-3310-O          ","07-NOV-14"
"73613","MCD","0801252        ","6514311002140","FIN-3310-O          ","07-NOV-14"
"75525","MCD","0820375        ","6514311002141","FIN-3310-O          ","07-NOV-14"
"76523","MCD","0830373        ","6514311002142","FIN-3310-O          ","07-NOV-14"
"76564","MCD","0830784        ","6514311002143","FIN-3310-O          ","07-NOV-14"
"77489","MCD","0840059        ","6514311002144","FIN-3310-O          ","07-NOV-14"
"77491","MCD","0840077        ","6514311002145","FIN-3310-O          ","07-NOV-14"
"78493","MCD","0850093        ","6514311002146","FIN-3310-O          ","07-NOV-14"
"78503","MCD","0850191        ","6514311002147","FIN-3310-O          ","07-NOV-14"
"78533","MCD","0850495        ","6514311002148","FIN-3310-O          ","07-NOV-14"
"78534","MCD","0850502        ","6514311002149","FIN-3310-O          ","07-NOV-14"
"79487","MCD","0860037        ","6514311002150","FIN-3310-O          ","07-NOV-14"
"79488","MCD","0860046        ","6514311002151","FIN-3310-O          ","07-NOV-14"
"79492","MCD","0860082        ","6514311002152","FIN-3310-O          ","07-NOV-14"
"80484","MCD","0870008        ","6514311002153","FIN-3310-O          ","07-NOV-14"
"80485","MCD","0870017        ","6514311002154","FIN-3310-O          ","07-NOV-14"
"80486","MCD","0870026        ","6514311002155","FIN-3310-O          ","07-NOV-14"
"80488","MCD","0870044        ","6514311002156","FIN-3310-O          ","07-NOV-14"
"80489","MCD","0870053        ","6514311002157","FIN-3310-O          ","07-NOV-14"
"80491","MCD","0870071        ","6514311002158","FIN-3310-O          ","07-NOV-14"
"80494","MCD","0870106        ","6514311002159","FIN-3310-O          ","07-NOV-14"
"80496","MCD","0870124        ","6514311002160","FIN-3310-O          ","07-NOV-14"
"80497","MCD","0870133        ","6514311002161","FIN-3310-O          ","07-NOV-14"
"80499","MCD","0870151        ","6514311002162","FIN-3310-O          ","07-NOV-14"
"81057","MCD","0875736        ","6514311002163","FIN-3310-O          ","07-NOV-14"
"81563","MCD","0880800        ","6514311002164","FIN-3310-O          ","07-NOV-14"
"81770","MCD","0882871        ","6514311002165","FIN-3310-O          ","07-NOV-14"
"82253","MCD","0887705        ","6514311002166","FIN-3310-O          ","07-NOV-14"
"82254","MCD","0887714        ","6514311002167","FIN-3310-O          ","07-NOV-14"
"82636","MCD","0891567        ","6514311002168","FIN-3310-O          ","07-NOV-14"
"83388","MCD","0899103        ","6514311002169","FIN-3310-O          ","07-NOV-14"
"83389","MCD","0899112        ","6514311002170","FIN-3310-O          ","07-NOV-14"
"83396","MCD","0899185        ","6514311002171","FIN-3310-O          ","07-NOV-14"
"83397","MCD","0899194        ","6514311002172","FIN-3310-O          ","07-NOV-14"
"83398","MCD","0899201        ","6514311002173","FIN-3310-O          ","07-NOV-14"
"83399","MCD","0899210        ","6514311002174","FIN-3310-O          ","07-NOV-14"
"83427","MCD","0899505        ","6514311002175","FIN-3310-O          ","07-NOV-14"
"83428","MCD","0899514        ","6514311002176","FIN-3310-O          ","07-NOV-14"
"83477","MCD","0900001        ","6514311002177","FIN-3310-O          ","07-NOV-14"
"83631","MCD","0901546        ","6514311002178","FIN-3310-O          ","07-NOV-14"
"83754","MCD","0902778        ","6514311002179","FIN-3310-O          ","07-NOV-14"
