Provider or Internal View,Page Name,Physician/Osteopath Individual,Physician/Osteopath Individual,Physician/Osteopath Individual,Physician/Osteopath Individual,Physician Assistant,Chiropractor Individual,Dentist Individual,Dentist Individual,Optometrist Individual,Podiatrist Individual ,Podiatrist Individual ,Podiatrist Individual ,Psychologist,Psychologist,Psychologist,Psychologist,Clinical Nurse Specialist Individual,Clinical Nurse Specialist Individual,Clinical Nurse Specialist Individual,Clinical Nurse Specialist Individual,Nurse Midwife Individual,Nurse Midwife Individual,Nurse Practitioner Individual,Nurse Practitioner Individual,Nurse Practitioner Individual,Nurse Practitioner Individual
Provider Entry/Provider Access Pages,Provider Management Home - Provider Payment Innovation Reports ,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
Provider Entry/Provider Access Pages,CPC Specialites,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Provider Entry/Provider Access Pages,CPC Attestation,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Provider Entry/Provider Access Pages,CPC Practice Partnership,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Self Service,Remittance Advice,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Self Service,Provider Financials,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Self Service,Prior Auth,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Self Service,Claims,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Self Service,Recipient Eligiblity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Self Service,Cost Reports and Rate settings,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Self Service,Provider Reports,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Self Service,Provider Correspondance ,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
Self Service,Attachments,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
